pid,name,cpu_percent,memory_percent,num_threads,num_connections,is_suspicious
10012,suspicious_12.exe,78.64955837557875,30.363256637420477,27,9,1
10013,suspicious_13.exe,96.46196029099589,32.437236520865284,27,12,1
10014,suspicious_14.exe,70.78328874786952,41.41924342708208,26,7,1
10015,suspicious_15.exe,89.56905408973823,34.48551887070577,29,12,1
10016,suspicious_16.exe,84.93829458895114,48.74445699965962,24,15,1
10017,suspicious_17.exe,92.34172847073698,42.70734913828629,28,11,1
10018,suspicious_18.exe,70.71487626809721,47.74514126429355,13,13,1
10019,suspicious_19.exe,80.69830031876035,52.059047662837244,10,6,1
10000,suspicious_0.exe,83.76479893434421,36.787637108070435,19,10,1
10001,suspicious_1.exe,86.76504303288073,56.221472018361794,27,6,1
10002,suspicious_2.exe,77.53767743009624,59.472684384676896,28,6,1
10003,suspicious_3.exe,86.44429495834103,56.34564643261646,27,8,1
10004,suspicious_4.exe,74.60799304237634,30.41604453992671,30,7,1
10005,suspicious_5.exe,91.04435467382997,31.60354252902169,17,14,1
10006,suspicious_6.exe,73.54685627897135,52.22192664472465,17,9,1
10007,suspicious_7.exe,97.15971316402414,30.11384239356901,10,8,1
10008,suspicious_8.exe,91.8414203286271,38.171511960532534,24,12,1
10009,suspicious_9.exe,78.66483363266799,32.900757690427355,11,12,1
10010,suspicious_10.exe,95.45777457951625,43.48998816644195,17,10,1
10011,suspicious_11.exe,90.58341157434288,30.38111670667771,23,12,1
10012,suspicious_12.exe,89.65879627938637,48.33238412313382,27,14,1
10013,suspicious_13.exe,85.14525157211344,45.67895137124183,24,14,1
10014,suspicious_14.exe,76.31063716079973,51.965815629783954,17,6,1
10015,suspicious_15.exe,78.95270118691957,36.98197294118935,24,7,1
10016,suspicious_16.exe,77.6727389368463,45.408170569998944,29,15,1
10017,suspicious_17.exe,72.6106395296086,52.11040262085039,18,5,1
10018,suspicious_18.exe,79.96395517373809,42.071827522034134,14,10,1
10019,suspicious_19.exe,96.54899771691731,56.45334248905431,13,10,1
99999,test.exe,1,1,1,1,1
99999,test.exe,1,1,1,1,1
99999,test.exe,1,1,1,1,1
99999,test.exe,1,1,1,1,1
10000,suspicious_0.exe,85.78411028637018,44.4287507286089,11,11,1
10001,suspicious_1.exe,93.90002294034863,44.69166313420646,29,5,1
10002,suspicious_2.exe,92.1551111875572,41.31020338404442,28,11,1
10003,suspicious_3.exe,92.65912485409223,32.7897810361195,30,13,1
10004,suspicious_4.exe,73.85282302670556,51.61195224479624,11,11,1
10005,suspicious_5.exe,90.58131558613087,39.16953855154513,22,7,1
10006,suspicious_6.exe,87.08042921313398,31.82019592251758,26,14,1
10007,suspicious_7.exe,98.39570116852981,53.108735854461,26,8,1
10008,suspicious_8.exe,79.66116208531052,53.17035624681512,13,9,1
10009,suspicious_9.exe,74.52374787900877,34.356180413682125,30,8,1
10010,suspicious_10.exe,92.79284964427565,49.383308928733896,11,12,1
10011,suspicious_11.exe,72.56452210516092,40.60152734037774,29,10,1
10012,suspicious_12.exe,81.72525793876072,58.50873154980356,10,6,1
